id,name,age,salary,department,number_of_years_worked
1.0,Kenneth Jacobs,42.0,105222.0,,
,Cindy Schultz,56.0,86262.0,,6.0
3.0,,,,IT,30.0
4.0,Ruth Jennings,35.0,,Human Resources,17.0
5.0,Candice Cervantes,,134612.0,Marketing,
6.0,,,79789.0,Sales,17.0
7.0,,35.0,85848.0,,17.0
,Martha Suarez,37.0,63832.0,IT,21.0
9.0,,35.0,83976.0,Sales,9.0
10.0,Briana Maddox,,,,16.0
11.0,Brittany Rosario,52.0,104028.0,Marketing,15.0
,Kiara Harding,,111880.0,IT,
,Colleen Bowers,54.0,104772.0,Human Resources,
14.0,,37.0,126206.0,Legal,
15.0,Amy Deleon,63.0,113771.0,Finance,7.0
,Abigail Gamble,27.0,140821.0,Customer Service,38.0
17.0,Carly Stokes,,,,25.0
18.0,Alyssa Massey,57.0,60139.0,Human Resources,33.0
,,39.0,,IT,29.0
20.0,Brandi Solomon,33.0,,Legal,22.0
21.0,Steven Velasquez,28.0,,,9.0
22.0,Tyler Kelly,,101520.0,Legal,
,Fred Dunn,22.0,75349.0,Legal,40.0
24.0,Curtis Sanders,45.0,64143.0,Marketing,23.0
25.0,,25.0,123155.0,,23.0
26.0,John Orozco,,140762.0,Human Resources,21.0
27.0,Brandy Weber,63.0,113271.0,Marketing,39.0
28.0,Sharon Espinoza,,83394.0,Marketing,
,Jay Keller,53.0,,IT,
30.0,,23.0,130548.0,Human Resources,
31.0,,52.0,99714.0,Engineering,34.0
32.0,Brent Brady,55.0,77057.0,,31.0
33.0,Duane Huff,36.0,148222.0,Engineering,38.0
34.0,Tara Marsh,49.0,,,32.0
35.0,,,115594.0,,
36.0,David Fuentes,51.0,,Legal,16.0
37.0,Barry Cohen,37.0,95820.0,Finance,23.0
,Felicia Valenzuela,58.0,58378.0,Marketing,19.0
39.0,Rebecca Oneal,55.0,95256.0,Legal,10.0
,Justin Robles,45.0,,Finance,
41.0,Nina Myers,31.0,108770.0,,26.0
42.0,Joseph Serrano,28.0,123475.0,Engineering,21.0
43.0,Linda Lewis,,123797.0,Human Resources,22.0
44.0,,52.0,146757.0,,39.0
45.0,Samuel Ruiz,65.0,46301.0,Human Resources,8.0
46.0,Vickie Salinas,56.0,110799.0,Legal,18.0
47.0,Phyllis Burch,39.0,131186.0,Marketing,12.0
48.0,,52.0,,Legal,23.0
49.0,Sylvia Davies,,,Legal,32.0
,Vanessa Stafford,32.0,,Human Resources,
,Monique Cox,56.0,117655.0,IT,39.0
52.0,Annette Cowan,30.0,52786.0,Legal,
,Lorraine Burton,62.0,47297.0,Marketing,
,Jade Gomez,42.0,65952.0,Legal,31.0
55.0,Melissa Jordan,44.0,88242.0,IT,17.0
56.0,Matthew Duncan,,,,
57.0,Natasha Flores,31.0,,IT,27.0
,Wayne Moon,65.0,45063.0,Finance,
59.0,Devin Palmer,61.0,110993.0,Customer Service,
,Hayley Ford,,42772.0,Engineering,28.0
61.0,Cory Mcgrath,51.0,141392.0,Engineering,22.0
62.0,Veronica Cross,,,,
,Misty Barron,,139932.0,Engineering,
64.0,Ethan Maxwell,,49786.0,Finance,13.0
65.0,Terri Berry,55.0,,Legal,18.0
66.0,Wanda Frank,33.0,124212.0,Finance,13.0
67.0,Teresa Ochoa,37.0,75743.0,,1.0
68.0,Marie Lang,34.0,109939.0,Legal,
69.0,,41.0,56841.0,Legal,14.0
70.0,Michael Gomez,54.0,62846.0,IT,33.0
71.0,Ariel Casey,,84798.0,,10.0
72.0,Elijah Snow,50.0,,,38.0
73.0,,,122591.0,,8.0
74.0,,,99534.0,IT,14.0
75.0,Tanya Gallegos,29.0,144080.0,Engineering,
76.0,Cathy Doyle,44.0,52394.0,,27.0
,Joel Erickson,,,,8.0
78.0,Jeremiah Rogers,33.0,65311.0,Marketing,31.0
,Sheila Valenzuela,,149729.0,,5.0
80.0,Jay Vega,,81232.0,Legal,37.0
81.0,Micheal French,26.0,84768.0,Customer Service,18.0
,April Gardner,61.0,129371.0,Customer Service,33.0
83.0,,52.0,108668.0,Engineering,
84.0,Elijah Roberts,46.0,124573.0,Sales,24.0
85.0,,63.0,54058.0,Human Resources,32.0
86.0,Joy Walls,35.0,99232.0,,
87.0,Kayla Velez,29.0,,Marketing,8.0
88.0,Kiara Farrell,23.0,64639.0,Human Resources,34.0
,Anthony Simmons,42.0,128015.0,Engineering,21.0
90.0,Dean Hancock,38.0,76559.0,Sales,
91.0,Mandy Calhoun,,112715.0,IT,10.0
,Andrea Burgess,53.0,45417.0,Legal,31.0
93.0,Maurice Grant,63.0,133164.0,,
94.0,Deanna Cortez,46.0,,,
95.0,Michael Edwards,65.0,124096.0,IT,27.0
96.0,Dakota Mcdowell,29.0,57827.0,Customer Service,1.0
,Vernon Morrow,41.0,88782.0,Marketing,9.0
